Program Code,Program Title,Semester,Required Credit,Study Pattern,Subject Code,GE Elective,GE/DS Elective,DS Elective,Cantonese/Putonghua,Eng Level,Total DS,Total GE,Bio Level,Chem Level,Phy Level
8C112-AS,Associate of Science,1,62,I,SEHH1069,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1109,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1110,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1116,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SHDH1072,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,LCH1066,,,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1069,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1109,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1110,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SEHH1116,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,SHDH1072,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,62,I,LCH1066,,,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1069,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1109,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1110,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1116,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SHDH1072,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,LCH1046,,,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1069,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1109,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1110,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SEHH1116,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,SHDH1072,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,60,I,LCH1046,,,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,SEHH2031,,2,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,SEHH2041,,2,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,LCH1067,,2,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,SEHH2031,,2,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,SEHH2041,,2,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,62,I,LCH1067,,2,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,SEHH2031,,2,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,SEHH2041,,2,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,LCH1047,,2,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,SEHH2031,,2,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,SEHH2041,,2,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,2,60,I,LCH1047,,2,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,3,62,I,SEHH1049,,4,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,3,62,I,SEHH1049,,4,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,3,60,I,SEHH1049,,4,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,3,60,I,SEHH1049,,4,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,4,62,I,LCH1105,,4,,Cantonese,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,4,62,I,LCH1106,,4,,Putonghua,2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,4,60,I,LCH1105,,4,,Cantonese,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,4,60,I,LCH1106,,4,,Putonghua,>2,6,4,>=2,>=2,>=2
8C112-AS,Associate of Science,1,71,II,SEHH1069,,,,Cantonese,2,6,4,<2,<2,<2
